,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
43,2023-08-14,251.94392898381577,234.4545074195809,275.1320491663897,251.94392898381577,251.94392898381577,2.07570523780417,2.07570523780417,2.07570523780417,2.07570523780417,2.07570523780417,2.07570523780417,0.0,0.0,0.0,254.01963422161992
44,2023-08-15,251.74409110648216,237.6766782077708,277.2955373247892,251.74409110648216,251.74409110648216,4.54843092293806,4.54843092293806,4.54843092293806,4.54843092293806,4.54843092293806,4.54843092293806,0.0,0.0,0.0,256.29252202942024
45,2023-08-16,251.54425322914852,235.4527407159682,275.3565721093315,251.54425322914852,251.54425322914852,3.95856784946603,3.95856784946603,3.95856784946603,3.95856784946603,3.95856784946603,3.95856784946603,0.0,0.0,0.0,255.50282107861455
46,2023-08-17,251.3444153518149,234.28272840772652,273.17828292267177,251.3444153518149,251.3444153518149,2.515945464972482,2.515945464972482,2.515945464972482,2.515945464972482,2.515945464972482,2.515945464972482,0.0,0.0,0.0,253.86036081678736
47,2023-08-18,251.14457747448128,233.18761823894448,273.6120168412531,251.14457747448128,251.14457747448128,1.8219639988047744,1.8219639988047744,1.8219639988047744,1.8219639988047744,1.8219639988047744,1.8219639988047744,0.0,0.0,0.0,252.96654147328604
48,2023-08-21,250.5450638424804,232.34707553918855,270.0325868930743,250.5450638424804,250.5450638424804,2.0757052378055616,2.0757052378055616,2.0757052378055616,2.0757052378055616,2.0757052378055616,2.0757052378055616,0.0,0.0,0.0,252.62076908028595
49,2023-08-22,250.3452259675895,235.86580187170426,274.0868727548448,250.3452259675895,250.3452259675895,4.548430922936275,4.548430922936275,4.548430922936275,4.548430922936275,4.548430922936275,4.548430922936275,0.0,0.0,0.0,254.89365689052576
50,2023-08-23,250.14538809269862,235.71467137672514,274.2306921749699,250.14538809269862,250.14538809269862,3.9585678494638796,3.9585678494638796,3.9585678494638796,3.9585678494638796,3.9585678494638796,3.9585678494638796,0.0,0.0,0.0,254.10395594216251
51,2023-08-24,249.94555021780772,233.89300488577464,271.5476326320802,249.94555021780772,249.94555021780772,2.515945464973566,2.515945464973566,2.515945464973566,2.515945464973566,2.515945464973566,2.515945464973566,0.0,0.0,0.0,252.46149568278128
52,2023-08-25,249.7457123429168,230.7791693994126,272.5744718885624,249.7457123429168,249.7457123429168,1.8219639987943428,1.8219639987943428,1.8219639987943428,1.8219639987943428,1.8219639987943428,1.8219639987943428,0.0,0.0,0.0,251.56767634171112
